Company Name,Experience,Job Location,Job Description,Key Skills,Post Date,Job Link
Pure Tech Codex Private Limited,2 - 3 yrs,Pune,"Job Description: 2 to 3 Years experience in Python.Expert in Python ,  with knowledge of at least one Python web framework  Flask ,  Django etc.Expert in server programming.Go... More Details","rest  ,  python  ,  database  ,  django  ,  debugging  ,  mongodb",Posted few days ago,https://www.timesjobs.com/job-detail/python-pure-tech-codex-private-limited-pune-2-to-3-yrs-jobid-OHwfF0d6EhNzpSvf__PLUS__uAgZw==&source=srp
Surya Informatics Solutions Pvt. Ltd.,0 - 3 yrs,Chennai,"POSITION: Python Developer ELIGIBILITY: FRESHERS Your RoleUnderstand requirements and participate in project road map discussions in order to design ,  estimate ,  and deliver... More Details","python  ,  web technologies  ,  linux  ,  mobile  ,  mysql  ,  angularjs  ,  javascript",Posted few days ago,https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp
"Best Infosystems Ltd.
     (More Jobs)",5 - 7 yrs,(More Jobs) ,Urgent Requirement_PYTHON_Hyderabad_Full-timeJob title : PYTHONJob type : Full-timeLocation : HyderabadSkills Required : PythonExperience : 5 to 7 Years Job Description: What ... More Details,"PYTHON  ,  Azure   ,  ML  ,  AFRS  ,  Cognitive   ,  Data Lake  ,  Databricks  ,  Data Factory  ,  Synapse   ,  Analytics  ,  SQL  ,  EventHub   ,  IoT   ,  Apache   ,  Spark   ,  Machine Learning  ,  Databrick  ,  Docker  ,  RedHat",Posted a month ago,https://www.timesjobs.com/job-detail/python-best-infosystems-ltd-hyderabad-secunderabad-5-to-7-yrs-jobid-__SLASH__J0fFSJhFspzpSvf__PLUS__uAgZw==&source=srp
Gemini Solutions,4 - 7 yrs,Gurgaon,4  Years GurgaonB.TechRequired Skills 4   years of software quality assurance experienceExperience on creating Framework For Test Automation.Good knowledge of Python Scripting... More Details,"python  ,  mobile  ,  svn  ,  nosql  ,  python scripting  ,  git  ,  api  ,  sql database",Posted few days ago,https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-solutions-gurgaon-4-to-7-yrs-jobid-eGMLzwOk2QlzpSvf__PLUS__uAgZw==&source=srp
"Vishal Consultants
     (More Jobs)",2 - 6 yrs,(More Jobs) ,"Experience and skills inDeveloping Python based enterprise applicationsUsing Python ,  JS ,  MariaDBWorking with a backend framework such as FrappeDeveloping python scripts an... More Details",PYTHON,Posted a month ago,https://www.timesjobs.com/job-detail/python-developer-vishal-consultants-indore-2-to-6-yrs-jobid-7__SLASH__lf__SLASH__PubXttzpSvf__PLUS__uAgZw==&source=srp
TECHNOPARK TRIVANDRUM,2 - 5 yrs,Thiruvananthapuram,"Brief description :We are looking for python developers to join our engineering team and will be responsible for creating dynamic software products.Responsible for , Writing r... More Details","python  ,  oops  ,  storage",Posted 1 day ago,https://www.timesjobs.com/job-detail/python-developer-technopark-trivandrum-thiruvananthapuram-2-to-5-yrs-jobid-rmTTBSNDgwBzpSvf__PLUS__uAgZw==&source=srp
Ivan Infotech Pvt. Ltd.,2 - 5 yrs,Kolkata,"We are looking for a Python Developer to join our development team. Python Developer responsibilities include writing and testing code ,  debugging programs and integrating ap... More Details","rest  ,  python  ,  security  ,  debugging",Posted 2 days ago,https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,4 - 7 yrs,"Navi Mumbai,  Mumbai",JOB DETAILSMin 3 year experience in Python applications related to data management.Postgres DB experience 3 yearsSQL ExperienceExperience in managing importing / exporting lar... More Details,"python  ,  mvc  ,  sql",Posted 3 days ago,https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-navi-mumbai-mumbai-4-to-7-yrs-jobid-ckF__PLUS__TdKZejNzpSvf__PLUS__uAgZw==&source=srp
TEAMPLUS STAFFING SOLUTION PVT. LTD.,6 - 9 yrs,Pune,IndustryITPrevious Work Experience6 -9 YRSSalaryAs Per IndustryJob FunctionTechnologySkill 4  years of Python scripting- need framework development experience  ( 3 / 5 )  3  y... More Details,"python  ,  python scripting  ,  shell scripting  ,  unix",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-teamplus-staffing-solution-pvt-ltd-pune-6-to-9-yrs-jobid-bjMgIT2lz6JzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,3 - 5 yrs,Mohali,Hiring for Python Developer for Females in MNC Company for Mohali locationProfile  Python DeveloperExperience  3 to 5 yearsLocation  MohaliGender Preference  FemaleQualificati... More Details,"Django framework  ,  Python Developer  ,  core python",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-3-to-5-yrs-jobid-GTT0grHZP1tzpSvf__PLUS__uAgZw==&source=srp
